Servidor;IDEN1;EXT1;AMO1;IM1;INTEG1;INTRO1;IDEN2;IM2;EXT2;INTEG2;INTRO2;AMO2;INTRO3;IDEN3;IM3;EXT3;AMO3;INTEG3;MPS1;MPS2;MPS3;MPS4;MPS5;CP1;CP2;CP3;CP4;CV1;CV2;CC1;CV3;CV4;CV5;CC2;CV6;CC3;CV7;CC4;CN3;CV8;CV9;CC5;SV1;SV2;SV3;SV4;SV5;Sexo;Ano;Escolaridade;Salario;Tempo;Area;Esfera;Poder;Carimbo
Sim;4;5;1;4;5;5;5;5;4;4;4;4;4;5;4;5;2;4;4;4;4;4;3;4;4;3;3;4;4;4;1;4;5;4;4;2;4;4;4;5;4;4;4;4;4;5;2;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Acima de 35 anos;Outros;Federal;Outro;2020-06-27 22:25:00.000
Sim;2;2;1;5;2;2;3;5;5;5;5;1;4;5;5;5;4;5;5;5;5;4;3;5;2;3;2;5;5;3;4;3;4;4;3;3;3;3;3;3;2;3;4;3;5;5;3;Feminino;1956 a 1965;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 31 e 35 anos;Administrativa;Estadual;Executivo;2020-06-29 12:58:00.000
Sim;5;4;1;5;1;4;2;4;3;4;4;1;2;3;3;4;1;3;4;4;4;2;2;4;3;4;4;2;4;4;4;3;5;4;4;1;4;2;2;5;2;1;4;4;5;5;5;Feminino;1966 a 1975;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Outros;Federal;Executivo;2020-07-06 23:17:00.000
Sim;4;4;1;4;4;5;4;3;3;4;3;2;4;4;4;4;5;4;5;4;5;4;4;5;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;5;2;1;4;4;4;4;4;Masculino;1966 a 1975;Superior;Mais de 15 salários mínimos;Entre 6 e 10 anos;Fiscal;Municipal;Executivo;2020-06-05 03:14:00.000
Sim;3;4;1;2;5;4;4;4;3;4;4;3;3;4;5;1;2;4;4;5;4;4;4;4;4;3;3;4;3;5;5;5;5;3;4;3;5;3;3;4;4;5;3;3;4;4;3;Feminino;1976 a 1985;Mestre;Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Educação;Federal;Outro;2020-06-20 16:26:00.000
Sim;4;4;1;5;4;4;4;4;2;4;4;1;4;4;4;4;1;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Feminino;1956 a 1965;Mestre;Entre 10 e 14 salários mínimos;Entre 26 e 30 anos;Outros;Federal;Executivo;2020-06-26 02:21:00.000
Sim;3;2;1;4;2;1;2;4;3;3;4;2;2;2;4;5;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;5;3;3;3;3;5;2;1;2;3;3;3;4;4;Masculino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Educação;Estadual;Executivo;2020-06-16 05:18:00.000
Sim;5;5;1;5;5;5;5;5;5;5;5;1;5;4;5;5;1;5;5;5;5;4;5;4;4;4;4;5;4;5;5;4;4;4;4;4;4;1;2;5;4;1;5;4;5;5;5;Feminino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Educação;Federal;Executivo;2020-06-22 22:44:00.000
Sim;3;2;2;3;3;3;3;3;3;3;5;2;3;3;5;3;2;3;3;2;3;3;2;3;2;2;2;4;3;1;2;5;2;5;1;1;1;5;1;1;1;2;2;2;5;2;2;Masculino;1956 a 1965;Mestre;Entre 5 e 9 salários mínimos;Entre 31 e 35 anos;Educação;Federal;Executivo;2020-06-16 13:06:00.000
Sim;5;3;1;4;3;2;4;3;2;5;4;1;5;5;4;5;1;4;5;4;3;5;3;4;3;4;3;4;5;3;1;5;4;5;5;4;4;5;3;5;3;1;4;4;4;3;3;Masculino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Federal;Executivo;2020-06-21 15:11:00.000
